n,data_type,algorithm,time_sec,peak_mem_kb
5000,sorted,merge_sort,0.042030076001537964,97.80078125
5000,sorted,randomized_quick_sort,0.06659959799799253,2.7109375
5000,sorted,merge_sort,0.041112303999398137,97.80078125
5000,sorted,randomized_quick_sort,0.05888888200206566,2.6640625
5000,sorted,merge_sort,0.04192620300091221,97.80078125
5000,sorted,randomized_quick_sort,0.062376116002269555,2.8671875
5000,sorted,merge_sort,0.046486800001730444,97.80078125
5000,sorted,randomized_quick_sort,0.06188875799853122,2.7421875
5000,sorted,merge_sort,0.04400787499980652,97.80078125
5000,sorted,randomized_quick_sort,0.05888138800219167,2.6796875
5000,rev_sorted,merge_sort,0.044908574996952666,97.80078125
5000,rev_sorted,randomized_quick_sort,0.062200108000979526,2.7890625
5000,rev_sorted,merge_sort,0.04230108199772076,97.80078125
5000,rev_sorted,randomized_quick_sort,0.06303426399972523,3.2265625
5000,rev_sorted,merge_sort,0.042339643001469085,97.80078125
5000,rev_sorted,randomized_quick_sort,0.06491478200041456,2.8359375
5000,rev_sorted,merge_sort,0.04302924000148778,97.80078125
5000,rev_sorted,randomized_quick_sort,0.062036251998506486,2.7109375
5000,rev_sorted,merge_sort,0.042114813997613965,97.80078125
5000,rev_sorted,randomized_quick_sort,0.05800673699923209,2.7578125
10000,random,merge_sort,0.1554522160004126,165.18359375
10000,random,randomized_quick_sort,0.13316116699934355,3.3359375
10000,random,merge_sort,0.1604250710006454,165.07421875
10000,random,randomized_quick_sort,0.16448811999725876,3.4296875
10000,random,merge_sort,0.15429147699978785,165.08984375
10000,random,randomized_quick_sort,0.14583301299717277,3.2578125
10000,random,merge_sort,0.16054048699879786,165.07421875
10000,random,randomized_quick_sort,0.14096622599754483,3.0859375
10000,random,merge_sort,0.1624583730008453,165.07421875
10000,random,randomized_quick_sort,0.14739728499989724,3.0546875
10000,sorted,merge_sort,0.09378078999725403,195.45703125
10000,sorted,randomized_quick_sort,0.13534027299829177,3.2890625
10000,sorted,merge_sort,0.10584704999928363,195.45703125
10000,sorted,randomized_quick_sort,0.13364591199933784,3.1953125
10000,sorted,merge_sort,0.10273101799975848,195.45703125
10000,sorted,randomized_quick_sort,0.13526425999953062,3.1328125
10000,sorted,merge_sort,0.09729165200042189,195.45703125
10000,sorted,randomized_quick_sort,0.14235962899692822,3.3671875
10000,sorted,merge_sort,0.09605262100012624,195.45703125
10000,sorted,randomized_quick_sort,0.15185051699882024,3.3671875
10000,rev_sorted,merge_sort,0.10132133799925214,195.45703125
10000,rev_sorted,randomized_quick_sort,0.13634487600211287,3.1171875
10000,rev_sorted,merge_sort,0.10188901799847372,195.45703125
10000,rev_sorted,randomized_quick_sort,0.15084007299810764,3.5234375
10000,rev_sorted,merge_sort,0.10101271300300141,195.45703125
10000,rev_sorted,randomized_quick_sort,0.1370174300027429,3.2109375
10000,rev_sorted,merge_sort,0.09431308700004593,195.45703125
10000,rev_sorted,randomized_quick_sort,0.1321619330010435,3.0234375
10000,rev_sorted,merge_sort,0.09506842499831691,195.45703125
10000,rev_sorted,randomized_quick_sort,0.1534564430003229,3.2265625
20000,random,merge_sort,0.3557677019998664,335.52734375
